date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
121412	12:07:01	1	test	choice	0	B	1087	0	0	12:07:01	227156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	2	-2	R3R1B	0	0	14	11097	0	0	226045	227155
121412	12:07:01	1	test	choice	0	R	1019	0	0	12:07:01	229060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	3	-1	R3R1B3R	0	0	14	11097	0	0	228021	229060
121412	12:07:01	1	test	choice	0	G	969	0	0	12:07:01	231050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	4	0	R3R1B3R2G	0	0	14	11097	0	0	230060	231050
121412	12:07:01	1	test	choice	0	B	1032	0	0	12:07:01	233340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	5	1	R3R1B3R2G2B	0	0	14	11097	0	0	232284	233340
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	236512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	6	2	R3R1B3R2G2B1	1	0	14	11097	16935	28032	232284	233340
121412	12:07:01	1	test	choice	0	B	6909	0	0	12:07:01	244443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	0	-4	B	0	0	14	6926	0	0	237517	244443
121412	12:07:01	1	test	choice	0	R	1133	0	0	12:07:01	247067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	1	-3	B3R	0	0	14	6926	0	0	245916	247067
121412	12:07:01	1	test	choice	0	G	720	0	0	12:07:01	248707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	2	-2	B3R2G	0	0	14	6926	0	0	247972	248707
121412	12:07:01	1	test	choice	0	B	925	0	0	12:07:01	250699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	3	-1	B3R2G2B	0	0	14	6926	0	0	249748	250699
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	253600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	4	0	B3R2G2B1	1	2	16	6926	7146	14072	249748	250699
121412	12:07:01	1	test	choice	0	R	11026	0	0	12:07:01	265666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	0	-4	R	0	0	16	11059	0	0	254607	265666
121412	12:07:01	1	test	choice	0	G	1215	0	0	12:07:01	267842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	1	-3	R2G	0	0	16	11059	0	0	266611	267842
121412	12:07:01	1	test	choice	0	R	691	0	0	12:07:01	269464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	2	-2	R2G3R	0	0	16	11059	0	0	268747	269464
121412	12:07:01	1	test	choice	0	B	760	0	0	12:07:01	270986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	3	-1	R2G3R1B	0	0	16	11059	0	0	270211	270986
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	273769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	4	0	R2G3R1B1	1	3	19	11059	6093	17152	270211	270986
121412	12:07:01	1	test	choice	0	background	4846	1	0	12:07:01	279659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	4	0	-4	background	0	0	19	4885	0	0	274774	279658
