parenttype	parentname	name	value	index	id
computer	computer	macaddress.5	08-00-27-00-74-ac	5	92
computer	computer	memory	3985072	-1	102
computer	computer	os	win7	-1	125
computer	computer	osmajorversion	6	-1	126
computer	computer	osminorversion	1	-1	127
computer	computer	platform	win	-1	133
computer	computer	timerresolution	0.000427730815310539	-1	190
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	currentindex	1	-1	29
counter	counter	currentitem	1	-1	30
counter	counter	currentitemnumber	1	-1	31
counter	counter	currentvalue	1	-1	37
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	itemcount	1	-1	73
counter	counter	name	picture_CongruentLeft_counter	-1	110
counter	counter	nextindex	1	-1	114
counter	counter	nextvalue	1	-1	116
counter	counter	selectedcount	1	-1	158
counter	counter	selectedindex	1	-1	159
counter	counter	selectedvalue	1	-1	160
counter	counter	selectionmode	6	-1	162
counter	counter	selectionrate	-1	-1	161
counter	counter	typename	counter	-1	213
counter	counter	unselectedcount	0	-1	214
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	currentindex	1	-1	29
counter	counter	currentitem	1	-1	30
counter	counter	currentitemnumber	1	-1	31
counter	counter	currentvalue	1	-1	37
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	itemcount	1	-1	73
counter	counter	name	picture_CongruentRight_counter	-1	110
counter	counter	nextindex	1	-1	114
counter	counter	nextvalue	1	-1	116
counter	counter	selectedcount	1	-1	158
counter	counter	selectedindex	1	-1	159
counter	counter	selectedvalue	1	-1	160
counter	counter	selectionmode	6	-1	162
counter	counter	selectionrate	-1	-1	161
counter	counter	typename	counter	-1	213
counter	counter	unselectedcount	0	-1	214
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	currentindex	1	-1	29
counter	counter	currentitem	1	-1	30
counter	counter	currentitemnumber	1	-1	31
counter	counter	currentvalue	1	-1	37
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	itemcount	1	-1	73
counter	counter	name	picture_IncongruentLeft_counter	-1	110
counter	counter	nextindex	1	-1	114
counter	counter	nextvalue	1	-1	116
counter	counter	selectedcount	1	-1	158
counter	counter	selectedindex	1	-1	159
counter	counter	selectedvalue	1	-1	160
counter	counter	selectionmode	6	-1	162
counter	counter	selectionrate	-1	-1	161
counter	counter	typename	counter	-1	213
counter	counter	unselectedcount	0	-1	214
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	currentindex	1	-1	29
counter	counter	currentitem	1	-1	30
counter	counter	currentitemnumber	1	-1	31
counter	counter	currentvalue	1	-1	37
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	itemcount	1	-1	73
counter	counter	name	picture_IncongruentRight_counter	-1	110
counter	counter	nextindex	1	-1	114
counter	counter	nextvalue	1	-1	116
counter	counter	selectedcount	1	-1	158
counter	counter	selectedindex	1	-1	159
counter	counter	selectedvalue	1	-1	160
counter	counter	selectionmode	6	-1	162
counter	counter	selectionrate	-1	-1	161
counter	counter	typename	counter	-1	213
counter	counter	unselectedcount	0	-1	214
counter	counter	item	1	-1	72
counter	counter	currentindex	1	-1	29
counter	counter	currentitem	1	-1	30
counter	counter	currentitemnumber	1	-1	31
counter	counter	currentvalue	1	-1	37
counter	counter	item	1	-1	72
counter	counter	itemcount	0	-1	73
counter	counter	name	systembeep_systembeep_counter	-1	110
counter	counter	nextindex	1	-1	114
counter	counter	nextvalue	1	-1	116
counter	counter	selectedcount	0	-1	158
counter	counter	selectedindex	1	-1	159
counter	counter	selectedvalue	1	-1	160
counter	counter	selectionmode	6	-1	162
counter	counter	selectionrate	-1	-1	161
counter	counter	typename	counter	-1	213
counter	counter	unselectedcount	0	-1	214
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	currentindex	1	-1	29
counter	counter	currentitem	1	-1	30
counter	counter	currentitemnumber	1	-1	31
counter	counter	currentvalue	1	-1	37
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
counter	counter	itemcount	1	-1	73
counter	counter	name	text_blank_counter	-1	110
counter	counter	nextindex	1	-1	114
counter	counter	nextvalue	1	-1	116
counter	counter	selectedcount	1	-1	158
counter	counter	selectedindex	1	-1	159
counter	counter	selectedvalue	1	-1	160
counter	counter	selectionmode	6	-1	162
counter	counter	selectionrate	-1	-1	161
counter	counter	typename	counter	-1	213
counter	counter	unselectedcount	0	-1	214
counter	counter	item	1	-1	72
counter	counter	item.1	1	1	72
